host,hub,msg,day,ip,answ
philum.net,philum,"Dans l'aide à l'édition le bouton de mise en forme ':t' est passé au second plan (dans html) pour inciter à utiliser les balises h3, car la mise en forme html subsiste lors des échanges alors que la mise en forme n'est jamais prise en compte",110602,imu137.infomaniak.ch,
pat.philum.org,pat,"Pour en revenir au référencement par les moteurs de recherche, j'ai bien l'impression que tu as un problème (probablement syntaxique) dans tes fichiers robots.txt qui bloque l'indexation de tes sites !rnOUPS ! Je viens de m'apercevoir que tu viens juste de corriger le problème sur  http://philum.net/robots.txtrnBonne continuation...",110607,gw4.ovh.net,
philum.net,philum,"j'y travaille !rnen fait j'ai compris que robot.txt doit aussi indiquer le sitemap, que j'ai créé (et informé google) ; rnun outil permet aussi de signaler le méta 'google-verification' ; reste encore à rendre le robot.txt possible à informer des différents sitemap des hubs...rn(les conseils avisés font toujours très plaisir !)rn",110608,imu137.infomaniak.ch,46
pat.philum.org,pat,"Problème avec le module recherche :rnFatal error: Call to undefined function: stripos() in /homez.312/philum/www/prog/art.php on line 261",110628,gw4.ovh.net,
philum.info,dev,"bien vu !rnc'est une fonction php5 et récemment on a commencé à abandonner les fonctions qui faisaient émerger des fonctions php5",110629,imu137.infomaniak.ch,50
bruuu.philum.org,bruuu,"Bonjour,rnJe ne comprends pas comment on crée une catégorie. Dans la page catégorie, je peux changer le nom d'une catégorie ou la cacher, mais je ne vois rien pour en créer une nouvelle.",110810,gw4.ovh.net,
philum.net,philum,"Hello,rnLes catégories sont une émergence : la présence des articles détermine celle des catégories qui leur sont associées. De ce fait, (contrairement aux autres CMS) il n'est pas possible de créer une catégorie vide. rnDans chaque article, on associe les métas-mots tels que la catégorie, les tags, etc...rnY faire figurer une catégorie non existante la crée de facto.",110810,imu137.infomaniak.ch,52
bruuu.philum.org,bruuu,"Euh%u2026 il y a un nombre maximum de signes pour les ticket ? Mon précédent message a été coupé.rnDonc, la dernière phrase: %u2026 si ça pouvait être lié à une propriété css de ",110811,gw4.ovh.net,
bruuu.philum.org,bruuu,"Bon. J'ai compris le pourquoi de la coupure de mes messages dans les tickets : Il y a des caractères interdits dans les tickets. D'accord, je vais rester simple.",110811,gw4.ovh.net,57
bruuu.philum.org,bruuu,"J'ai un problème avec le menu :rnLes entrées dans le menu se positionnent les une au dessous des autres plutôt que les une à côté des autres.rnrnPar exemple, au lieu d'avoir comme menu :rn     catégorie1   catégorie2   catégorie3   ...rnJ'ai :rn    catégorie1   catégorie2rn    catégorie3rn    catégorie4rnrnJ'ai regardé dans les css, mais je ne vois rien d'anormal.rnComment faire ?rn",110811,gw4.ovh.net,
philum.net,philum,"(le système des tickets va devoir être amélioré !)rnPour les menus, ce sont autant de modules, et d'office ils sont séparés par un saut de ligne, qu'on peut annuler en cochant la case 'nobr'.",110811,imu137.infomaniak.ch,59
bruuu.philum.org,bruuu,"Est-ce qu'il est possible d'éviter la conversion en .jpg de l'image utilisée en bannière ?rnPour du dessin graphique, le jpg, ça détruit pas mal et ce n'est donc pas idéal.rnD'autant plus que j'optimise mes png de façon à avoir un minimum de valeur et donc, ça fait des images très légères.",110811,gw4.ovh.net,
philum.net,philum,"En fait l'image n'est pas réécrite, c'est la même, simplement renommée 'jpg' et ça marche quand même ! Les transparences sont du png sont conservées.",110811,imu137.infomaniak.ch,61
bruuu.philum.org,bruuu,"Est-ce qu'il est possible de paramétrer une taille maximum pour les vignettes générées par le connecteur "":photo"" ?",110811,gw4.ovh.net,
philum.net,philum,"ah, non, enfin pas encore !rnles miniatures sont seulement orientées automatiquement. (à faire !)",110811,imu137.infomaniak.ch,63
bruuu.philum.org,bruuu,"Est-ce qu'il est possible avec le module ""cat-arts"" d'empêcher l'affichage du nom de la rubrique et de n'afficher que le nom des articles ? ",110811,gw4.ovh.net,
philum.info,dev,"Non, mais le module 'articles' est plus complet, il permet notamment de spécifier un template pour l'affichage, un contenu généré par une instruction, et en particulier de ne pas afficher de titre si aucun n'est demandé.",110811,imu137.infomaniak.ch,65
bruuu.philum.org,bruuu,"En fait, dans le menu, j'ai inclus le module ""categories"" pour choisir les rubriques.rnJe voudrais, quand on clique sur une catégorie, que ça ouvre un sous-menu avec les articles qui en font partie.rnÇa fonctionne en incluant ""cat-arts"" dans le menu, sauf que ça écrit aussi le nom de la catégorie.rnrnJe veux bien essayer avec le module ""articles"", mais je ne le vois pas dans la section ""menu"". Je ne le vois que dans la section ""content""",110811,gw4.ovh.net,65
bruuu.philum.org,bruuu,"Quelqu'un pourrait-il donner un exemple de paramètres pour le module ""submenu"" ?rnSi j'ai bien compris, ""submenu"" est censé générer un menu déroulant ?rnDonc, comment dois-je procéder pour obtenir un menu qui affiche les rubriques qui, une fois cliquées, me donnent un menu déroulant avec le contenu de la rubrique cliquée ?",110811,gw4.ovh.net,
philum.net,philum,"c'est ça la fonction du module submenus ; si des articles existent des structures seront proposées. rnLa page http://philum.net/128 sur le sujet a été mise à jour !",110811,imu137.infomaniak.ch,68
bruuu.philum.org,bruuu,"J'utilise l'option ""p*balise"".rnJ'ai rencontré deux problèmes :rnrn1. Quand le début de l'article est un titre, j'utilise le connecteur (:h).rnMais alors, la balise <p> se positionne avant le <h3>rnVoilà ce que ça donne :rn <p><h3>Titre</h3><br />rnTexte</p><p>Texte</p>rnrn2.  l'élément ""p"" est absent des élément css disponibles. Donc, pas moyen de le personnaliser avec une classe.rnp .justifyrnEn fait, il faudrait que le double enter introduise non pas un simple <p>, mais un p .justifyrnJe me trompe ?",110812,gw4.ovh.net,
bruuu.philum.org,bruuu,"Quand on clique sur le bouton ""open"" dans la preview  d'un article, ça permet de lire la totalité de l'article, mais alors, les options Facebook, Twitter, mail... ne s'affichent pas.rnCe serait bien, il me semble, qu'elles s'affichent.",110812,gw4.ovh.net,
philum.net,philum,"C'est vrai que la consultation sur place n'affichera pas les options d'article ; rnpour cela il y a une solution en préparation, on va faire en sorte de rendre disponible un bloc de modules annexé aux articles, et les options d'articles y figureront par défaut, ce qui permettra de les afficher.",110812,imu137.infomaniak.ch,71
philum.net,philum,"Ah !rnj'utilise Firebug (plugin de firefox) et lui ne me l'affichait pas, mais c'est logique. On va faire en sorte que les images, vidéos, titres soient exclus de la procédure. ",110812,imu137.infomaniak.ch,70
philum.net,philum,"concernant l'élément p, il est possible d'ajouter des définitions de classes à la feuille css en bas (préciser la position).rnMais il ne faut pas utiliser de 'justify' comme style dans une balise p, ça ne se fait pas ! (enfin si ça se fait tout le temps mais c'est mal !). La classe 'justy' concerne le corps du texte des article, et peut recevoir une propriété 'text-align:justify;' (mais pour les puristes des typos que vous êtes, l'espace entre les caractères est assez indésirable !)",110812,imu137.infomaniak.ch,70
philum.net,philum,"Il faut jouer sur la classe MenuH pour les sous-menus ; les définitions viennent d'être mises à jour. rnLe module submenus permet, lui, d'afficher des catégories inexistantes. En fait chaque retour à la ligne signifie l'appel d'un module 'link', et le nombre de tirets en début de ligne signifie la profondeur.",110812,imu137.infomaniak.ch,68
philum.net,philum,"désormais la taille des miniatures du connecteur ':photo' dépend du paramètre 27 dans admin/params",110812,imu137.infomaniak.ch,63
bruuu.philum.org,bruuu,"J'utilise aussi Firebug dans Firefox. Mais pour le voir, j'ai simplement regardé dans le code source de la page.rnrnSinon, je ne comprends toujours pas comment styler la balise <p>.rnEn bas de la page css, j'avais bien vu la possibilité d'ajouter des définitions de classes à la feuille css. Mais dans le menu ""element"", je ne vois pas l'élément p.rnIl y a quelque-chose qui m'échappe...",110812,gw4.ovh.net,70
philum.net,philum,"Ce qui échappe à la vue c'est que les éléments proposés sont secondaires par rapport aux éléments rédigés : le mot 'element' est en fait un champ où on peut entrer une valeur, telle que li a:hover (un élément inattendu)",110812,imu137.infomaniak.ch,70
bruuu.philum.org,bruuu,"Oui ! Merci beaucoup.rnJe ne suis pas encore habitué à cette manière d'introduire des données.rnUne idée pour qu'il y ait moins de personnes qui s'arrêtent à ce genre de chose et posent des questions idiotes, ce serait que la couleur du champ change quand on le survole.rnCe n'est qu'une idée.rnCordialement.",110812,gw4.ovh.net,70
bruuu.philum.org,bruuu,"Je voudrais changer la taille de la police qui sert quand on écrit un article. Mes pauvres yeux demandent grâce!rnJ'ai vu que c'était contrôlé par la balise element.style.rnElle n'est pas dans la feuille de style. J'ai tenté de la créer, mais apparemment, ça ne produit aucun résultat.rnJ'ai pu changé la police en elle-même en modifiant la balise .tab.rnrnY a-t-il une possibilité pour la taille de police ?",110812,gw4.ovh.net,
philum.net,philum,"ok, l'élément qui force la taille est supprimé, et .tab étant toujours contrecarré par une autre classe, peut du coup servir à fixer la taille du champ du formulaire d'article",110812,imu137.infomaniak.ch,80
bruuu.philum.org,bruuu,"Oui... Ça marche. En plus, ça a l'avantage de pouvoir avoir la même police et la même taille en écrivant qu'une fois l'article généré sur la page. Ça donne donc une idée visuelle de l'espace utilisé.rnMerci.",110812,gw4.ovh.net,80
bruuu.philum.org,bruuu,"Euh... il y a encore un problème avec la balise p :rnAu dessus du premier titre <h3>, apparait un paragraphe vide avec <p></p>.rnVoilà un code exemple :rn<p></p>rn<h3></h3>rn<p></p>",110812,gw4.ovh.net,70
bruuu.philum.org,bruuu,"Dans la doc, je lis dans la page sur les connecteurs :rncss :      spécifie une classe CSS (texte§classe:css).rnrnJ'ai donc créé cinq classes nommées 2, 3, 4, 5 et 6.rnÀ chacune, j'ai affecté un font-family différente, ce qui me permet d'avoir une bonne panoplie de graisse (du plus maigre (2) au plus gras (5).rnEnsuite, quand je saisie du texte dans l'éditeur, j'utilise le connecteur ""css"".rnÇa donne par exemple : (mon texte§6:css) ou 6 est la classe que j'ai créé dans le css builder.rnCe serait super... mais hélas, ça ne marche pas.rnPourquoi ?",110812,gw4.ovh.net,
philum.net,philum,"je crois que les CSS n'autorisent pas les classes nommées par des chiffres.rn(on ne peut pas renommer une classe, il faut la supprimer et en créer une autre, ou alors aller dans l'admin de msql, dans design et changer le nom des classes)",110812,imu137.infomaniak.ch,84
bruuu.philum.org,bruuu,"Bon... j'ai renommé mes classes, mais ça ne marche pas mieux.rnQuelque chose qui m'échappe...",110813,gw4.ovh.net,84
philum.net,philum,"- rien ne marche mal dans 'La Bande à Zorro' (j'ai fais une recherche à :css), la classe g2 a bien l'effet attendu ! (même minimal)rn- j'ai remarqué un inconvénient venant des classes par défaut qui a été corrigé, dans les menuH il fallait que les margin-width soient avant les border-width sinon ils sont affectés par le changement de taille des colonnes... ce qui a produit un border-width de 190px. Ce défaut a été corrigé, mais ne faites un update que sur une sauvegarde (sur un nouveau design hérité de l'actuel).. ou alors il faut le corriger manuellement en cherchant les border-width.rn",110813,imu137.infomaniak.ch,84
bruuu.philum.org,bruuu,"Oui, merci, ça marche.",110813,gw4.ovh.net,84
bruuu.philum.org,bruuu,"Encore une chose :rnJ'essaye de changer la police sur les entrée du sous-menu et je n'y arrive pas. Quand je regarde dans Firebug, un style ""menuH ul ul a"" existe. Mais je ne le retrouve pas dans les css de Philum.rnJ'ai tenté d'introduire la balise font-family dans à tous les styles liés à menuH, mais sans effet.",110813,gw4.ovh.net,
philum.net,philum,"Le contrôle des css à ce niveau étant très complexe (niveau expert) il a été facilité au maximum, en se basant sur une feuille css standard nommée 'menus.css', de façon à ce qu'il ne reste que ce qui est utile. Mais ces définitions peuvent être contrecarrées par des nouvelles qu'il faut créer, si jamais celles qui sont présentes ne suffisent pas.rnAussi, MenuH hérite de Menu, de façon à conserver les propriétés des autres liens affichés.",110813,imu137.infomaniak.ch,89
bruuu.philum.org,bruuu,"Oui, j'avais remarqué l'héritage.rnJe vais essayer de comprendre comment affecter une nouvelle définition de style à un élément.",110813,gw4.ovh.net,89
bruuu.philum.org,bruuu,"J'ai regardé un peu le système des templates.rnrnPour contrôler le font-family des entrées du sous-menu, j'ai créé un template menu auquel j'ai ajouté une entrée, avec ces options:rn((menuH§((ul:html)(ul:html)(a:html))(g3:class):div))rnrnÇa ne marche pas, mais est-ce que je m'approche un peu du résultat ?",110813,gw4.ovh.net,89
bruuu.philum.org,bruuu,"Bon... j'ai dû déconner salement.rnJe n'ai plus accès à mes articles !",110813,gw4.ovh.net,89
philum.net,philum,"(je suis allé jeter un oeil) la hauteur du ul dans le li est donnée par le margin de MenuH li ulrnet pour les templates, c'était pas du tout ça ! (on peut toujours revenir au template par défaut) mais en gros, c'est rn(value§param:connector) imbriqué, ce qui donne toujours rn(value§(value§param:connector):connector)",110813,imu137.infomaniak.ch,89
bruuu.philum.org,bruuu,"suggestion :rnUne petite option nobr dans submenus, ce serait sympathique. Ça permettrait de l'intégrer dans le menu principal à n'importe quelle position. Sans cette option nobr, on ne peut le mettre qu'en fin de menu si on ne veux pas provoquer de retour à la ligne intempestif.",110813,gw4.ovh.net,
philum.net,philum,"En effet",110813,imu137.infomaniak.ch,95
bruuu.philum.org,bruuu,"update 110813 : génial !",110813,gw4.ovh.net,
bruuu.philum.org,bruuu,"Quand j'utilise l'option p-balise, Philum me met automatiquement un paragraphe vide (p) (/p) avant la balise h3.rnPlutôt gênant.",110813,gw4.ovh.net,
philum.net,philum,"En fait c'est le navigateur qui refuse de mettre dans un p les h3, alors il crée lui-même deux balises p vides avant et après, mais comme elles sont vides elles ne ne consomment aucun espace vertical, donc ça ne gêne pas. Dans le code source sans sélectionner une partie (ctrlADDu) on peut voir le rendu d'origine.rnmais le développement continue !",110813,imu137.infomaniak.ch,98
bruuu.philum.org,bruuu,"D'accord. C'était gênant chez moi parce-que j'avais affecté à à la balise p un réglage de padding. Je l'ai remplacé par un réglage margin et ça fonctionne mieux.rnMerci pour la réponse :)",110813,gw4.ovh.net,98
bruuu.philum.org,bruuu,"Il serait aussi utile de pouvoir rendre le titre du menu ""submenu"" non-cliquable, afin que les visiteurs soient obligés de cliquer sur une des entrées du submenu.rnSinon, ça les dirige sur une page et - dans mon cas - ce n'est pas le but de la man%u0153uvre.rnC'est peut-être un peu compliqué, dans la mesure où il faudrait aussi rendre les styles css titre menu et submenu indépendants (dans menuH).",110813,gw4.ovh.net,
bruuu.philum.org,bruuu,"suggestion :rnDans le pied de page, j'aurais voulu introduire un petit symbol entre chaque entrée. J'ai essayé avec le module text, mais ça ne fait pas l'affaire. Soit un symbol ascii, soit utf8 (à choisir dans dingbats par exemple).",110813,gw4.ovh.net,
philum.net,philum,"dans l'éditeur externe (editor en haut) il faut envoyer le formulaire du signe ASCII pour obtenir son code html, et c'est lui qu'il faut mettre dans les champs.",110813,imu137.infomaniak.ch,102
bruuu.philum.org,bruuu,"J'aimerais pouvoir ajouter l'icone de l'article à son titre pour la preview. C'est possible ?",110814,gw4.ovh.net,
philum.net,philum,"La disposition des objets qui font un article est donnée par le template.rnC'est rugueux à utiliser mais ça n'a à être fait qu'une fois !rnIl faut avoir une image ou un signe ASCII et le placer avant le titre à partir du template par défaut.",110814,imu137.infomaniak.ch,104
bruuu.philum.org,bruuu,"Il va falloir que je creuse.",110814,gw4.ovh.net,104
bruuu.philum.org,bruuu,"suggestion :rnDans la preview d'article, ce serait sympathique si on pouvait cliquer sur l'icône de l'article pour l'ouvrir.rnJ'utilise des icônes d'article assez grands et expressifs et j'ai remarqué que c'est le premier endroit où on a le réflexe de cliquer. Réflexe contrarié, donc, pour le moment.",110814,gw4.ovh.net,
bruuu.philum.org,bruuu,"J'ai mis dans les restrictions ""float*image"" sur On. Comment annule-t-on l'habillage pour une image particulière dans une page?",110815,gw4.ovh.net,
philum.net,philum,"tous les utilisateurs ne désirent pas ça, donc il a fallu faire que cela soit possible à produire : dans le template il faut mettre l'image dans un lien.",110815,imu137.infomaniak.ch,107
philum.net,philum,"connecteur html 'clear'",110815,imu137.infomaniak.ch,108
bruuu.philum.org,bruuu,"Est-ce qu'il est possible de redimensionner une image particulière dans un article7rnJ'ai essayé avec ce code :rn(((bruuu_795_0044web.jpg)§(300px/200px:thumb):div):codeline)rnmais ça ne marche pas.",110815,gw4.ovh.net,
philum.net,philum,"les fonctions du Codeline sont prévues pour les templates, et les rendre disponibles pour les articles nécessite encore un petit bon évolutif au niveau technique ;rnmais comme on a tendance à s'y attendre, cela va être rendu possible.",110815,imu137.infomaniak.ch,111
bruuu.philum.org,bruuu,"Dans le formulaire de création d'article, à quoi sert le champ ""url"" ?",110816,gw4.ovh.net,
philum.net,philum,"un connecteur :thumb va être ajouté pour cela (:mini révisé) et le connecteur codeline va nécessiter une aide contextuelle parce que c'est plus compliqué",110816,imu137.infomaniak.ch,111
philum.net,philum,"le champ 'url' sert à importer des articles depuis d'autres sites, quand les définitions de ce site existent",110816,imu137.infomaniak.ch,113
bruuu.philum.org,bruuu,"D'accord, merci.",110816,gw4.ovh.net,113
bruuu.philum.org,bruuu,"J'hésite beaucoup à me lancer dans les templates. pourtant, j'en aurais besoin. je bloque sur les variables. Je n'ai trouvé nul part la liste des variables qu'on peut employer avec leur description. Je crois que ça aiderait pas mal.",110816,gw4.ovh.net,
philum.net,philum,"en fait il faut se baser sur le template d'origine, où toutes les variables sont affichées hormis '_IMG1' (qui renvoie la miniature en brut alors que '_THUMB' renvoie l'embed html de l'image) ;rnrnles viariables sont toujours au format _MAJUSCULESrnrnd'autres variables peuvent provenir depuis des bases de données utilisateur (:msq_template)rnrndans builders/template tous les connecteurs sont proposés pour l'édition, mais il est vrai que l'aide est très sommaire.rnrnEn fait c'est conçu comme le html, c'est imbriqué.rnrnon peut aussi très bien se passer de ces instructions logicielles pour mettre carrément du html normal, comme dans les templates habituels des autres cms.rnrnle code d'instructions (codeline) permet toutefois de ne pas afficher des balises vides.rnrnPour commencer prenez le template par défaut et faites les modifs une à une. A ce niveau c'est vrai que c'est assez délicat à manier, mais ça n'a à être fait qu'une fois.",110816,imu137.infomaniak.ch,117
bruuu.philum.org,bruuu,"Bon... je vais tâcher de m'y mettre.",110816,gw4.ovh.net,117
bruuu.philum.org,bruuu,"Suggestion :rnDans les galeries, ce qui serait sympathique, c'est qu'on ait la possibilité d'ajouter un commentaire à chaque image.",110817,gw4.ovh.net,
philum.net,philum,"le module en Flash Slider sert précisément à cela ;rnun sliderJ est à l'étude (en ajax)",110817,imu137.infomaniak.ch,120
bruuu.philum.org,bruuu,"Dans le template article, j'ai mis (_URL§_THUMB_MSG:url), pour que - en preview - la miniature de l'article soit cliquable et ouvre l'article.rnÇa marche. Mais, s'il n'y a pas une image en début d'article, une grosse partie - voire tout l'article se transforme en lien.rnrnComment faire pour contourner ce problème ?",110817,gw4.ovh.net,
philum.net,philum,"ce que vous vouliez faire c'est plutôt :rn(_URL§_THUMB:url) _MSG",110817,imu137.infomaniak.ch,122
bruuu.philum.org,bruuu,"Oui, merci :)",110817,gw4.ovh.net,122
bruuu.philum.org,bruuu,"On peut affecter un template à toute une catégorie ?",110817,gw4.ovh.net,
philum.net,philum,"oui le bloc système sert à affecter les template et permet d'ajouter des conditions ;rnaussi il peut être affecté à un module 'articles' dans une colonne latéralern(global - local - ponctuel)",110818,imu137.infomaniak.ch,125
bruuu.philum.org,bruuu,"Ce serait sympathique si un simple clic sur une image ouverte en ajax (via :sliderJ ou :photo2) refermait la fenêtre. En effet, pour de grandes images, la petite croix de fermeture n'est pas forcément visible à l'écran et il faut la chercher. Du coup, on a tendance à faire un ""retour à la page précédente"" dans le navigateur pour la fermer. Et ce n'est pas vraiment le but.",110820,gw4.ovh.net,
bruuu.philum.org,bruuu,"Je voudrais pouvoir afficher la même leftbar pour tous les articles d'une même catégorie.rnDans la console, je n'ai trouvé le moyen de le faire que manuellement, par article.rnrnIl y a un autre moyen ?",110820,gw4.ovh.net,
fernand.philum.org,Fernand,"Comment puis-je puis-je modifier afin que des variables telles que  (_TRACKS) dans le template, puissent apparaître, par exemple sous l'appellation ""commentaire(s)"" pour le public ? rnPar avance merci.",110828,gw4.ovh.net,
philum.net,philum,"génériquement, ça se passe dans les modules système",110829,imu137.infomaniak.ch,128
philum.net,philum,"ce n'est pas dans le template que ça se passe, mais dans les nominations (désormais) : table lang/helps/nominations ; ça se gère au niveau superadmin ;rnAinsi, désormais 'tracks' est nommé 'commentaires'",110829,imu137.infomaniak.ch,129
fernand.philum.org,Fernand,"Chouette, merci !",110830,gw4.ovh.net,129
fernand.philum.org,Fernand,"Comment faire pour que la bannière renvoie systématiquement vers  la page d'accueil lorsque l'on clique dessus?",110831,gw4.ovh.net,
philum.net,philum,"c'est ce quelle fait, à la page d'accueil d'en être une ! rnsinon on peut mettre n'importe quel module à la place, comme :read",110831,imu137.infomaniak.ch,133
www.lechantdesmuses.fr,elode,"Comment ajouter des images au fur et à mesure dans un sliderJ déjà existant ? Sans avoir à tout recommencer.",110917,gw4.ovh.net,
philum.net,philum,"il faut ""rebuild"" (reconstruire) les anciennes infos sont conservées",110920,imu137.infomaniak.ch,135
philum.net,philum,"apparition du codeline basic : stade primitif, des modifications ""fatales"" peuvent être apportées",110920,imu137.infomaniak.ch,
www.lechantdesmuses.fr,elode,"Ça ne marche pas. Peut-être que c'est parce-que je choisi ""manual"" comme source ?",110926,gw4.ovh.net,135
fernand.philum.org,Fernand,"1-  Comment régler l'édition des commentaires afin que le public autorisé à commenter puisse utiliser la sélection de connecteurs qui lui est proposée (mise ne gras, etc.) ?rn2- Quelle formule doit-on appliquer lorsque l'on fait ""open"" sur une preview d'un article afin que le commentaire ""réagir à cet article"" soit également proposé sur le déroulé de cet article (autrement, le public s'y perd) ?",110926,gw4.ovh.net,
philum.net,philum,"1 pourquoi ça ne marcherait pasrn2 on peut pas",110926,imu137.infomaniak.ch,
fernand.philum.org,Fernand,"1- ça ne marche pas ( Essayez sans login sur philum.info)... Alors que ça fonctionne depuis la même machine quand on est logué en admin.rn2- Dommage",110926,gw4.ovh.net,142
www.lechantdesmuses.fr,elode,"Est-il possible de classer le déroulé des articles d'une rubrique manuellement ? Actuellement, j'utilise le module ""Category"".",110930,gw4.ovh.net,
fernand.philum.org,Fernand,"1- réparé, version 111004. MERCI !!",111004,gw4.ovh.net,142
philum.net,philum,"LOAD renvoie le déroulé des articles selon le classement, date ou sujet, ordonné ou inverse ;rnà la place le module 'pub_arts' transforme la chaîne d'ID en liste ordonnée d'articles à afficher selon les commandes habituelles (articles)",111004,imu137.infomaniak.ch,144
www.lechantdesmuses.fr,elode,"oui, merci :)",111007,gw4.ovh.net,144
lechantdesmuses.fr,elode,"Bonjour,rnIl y a eu un changement pour les icones d'articles ?rnJusqu'ici, la première image que j'uploadais dans l'article était automatiquement prise comme icone.rnApparemment, ça ne marche plus. Y a-t-il une nouvelle procédure à suivre ?",111012,gw4.ovh.net,
www.lechantdesmuses.fr,elode,"Est-il possible de mettre dans la leftbar quelque-chose qui ne soit visible que pour les articles d'une catégorie ?",111014,gw4.ovh.net,
www.lechantdesmuses.fr,elode,"Je n'arrive pas à comprendre le système de backup. Est-ce qu'il y a moyen de faire un backup général du site, y-compris mysql ?",111014,gw4.ovh.net,
philum.net,philum,"non, une nouvelle restriction permet de choisir si le cadrage de la miniature doit être intérieur ou extérieur",111015,imu137.infomaniak.ch,148
philum.net,philum,"avec la condition 'cat'",111015,imu137.infomaniak.ch,149
philum.net,philum,"le backup renvoie le dump de la base mysql, un backup des tables micorsql est possible aussi, bref tout peut être sauvegardé ; il y a différentes parties à sauvegarder, mais en général les serveurs sont plus fiables que nos DD",111015,imu137.infomaniak.ch,150
www.lechantdesmuses.fr,elode,"Bonjour,rnJ'ai un certain nombre d'images sur mon site qui sont sous la forme (img§txt).rnPour l'update 111220, il est écrit :rnréforme du commentaire d'images, ((img§txt)) renvoie désormais un simple lien vers l'image en popup, au lieu d'une image avec un commentaire. Pour commenter une image, c'est mieux d'utiliser le blockquote.rnrnC'est quoi ce blockquote ? Comment mettre ça en oeuvre ? Un exemple ?",111221,gw4.ovh.net,
philum.net,philum,"Bonjour,rndésolé pour la manipe, c'est vraiment exceptionnel ; il se trouve que c'est finalement plus intelligent que le résultat rendu soit le même que celui copié des autres sites, quand une image est le lien d'un texte, cela renvoie désormais l'ouverture d'une popup même si l'image est externe. rnLe commentaire d'une image peut être mit dans un 'bloc', connecteur :q ou la double accolade (()).rnPour faire bien faites une recherche à '.jpg§' comme ça vous êtes sûr de ne rien manquer, ensuite il suffit de déplacer le texte à l'extérieur de la balise, supprimer le §, et mettre le texte dans un 'bloc' (balise blockquote, prévue pour les citations)",111221,imu137.infomaniak.ch,155
www.lechantdesmuses.fr,elode,"Bon... j'ai trouvé ce blockquote. Mais ça ne m'arrange guère... et c'était bien pratique de pouvoir lier un commentaire à une image. Vraiment dommage.",111221,gw4.ovh.net,155
philum.net,philum,"ah oui l'exemple : rn(image.jpg§commentaire), avant, renvoyait l'image et son commentaire en-dessous, maintenant ça renvoie un lien vers l'image.rnLa modif : rn(image.jpg)((commentaire)) : un saut de ligne est ajouté entre les deux si l'image est en pleine largeur. rnLa balise blockquote permet d'utiliser des css qui rendent ce bloc visiblement indépendant du corps du texte.",111221,imu137.infomaniak.ch,155
philum.net,philum,"c'est vrai que c'était pratique, à la limite on peut ajouter un connecteur pour récupérer cette fonction, je n'y avais même pas pensé !",111221,imu137.infomaniak.ch,155
www.lechantdesmuses.fr,elode,"Ce serait chouette !rnMerci encore pour tout le boulot que vous faites :)",111221,gw4.ovh.net,155
www.lechantdesmuses.fr,elode,"Il n'y a plus de bouton pour fermer le visionneur d'image en flash. C'est normal ?",111221,gw4.ovh.net,
philum.net,philum,"oui, il faut cliquer sur l'image, mais parfois le serveur conserve les anciennes pages javascript, il faut peut-être rafraîchir (une fois) si ça ne marche pas.rnc'est plus commode que d'avoir à aller chercher un petit bouton...",111221,imu137.infomaniak.ch,161
www.lechantdesmuses.fr,elode,"Non, je ne parle pas du visionneur en ajax. Je parle de celui qui s'ouvre quand on clique sur le bouton ""zoom"".rnrnSinon, oui, pour le visionneur en ajax, j'ai remarqué... et c'est effectivement bien mieux.",111221,gw4.ovh.net,161
philum.net,philum,"ça c'est un bug. le bouton close en flash était inutile et a été supprimé mais au-dessus, avec firefox, un bouton close est sensé apparaître.",111221,imu137.infomaniak.ch,161
philum.net,philum,"une nouvelle mise à jour ajoute le connecteur ':comment', qui est associé à une classe css appelée 'blocktext', ajoutée au design par défaut, accessible par un update du design (sauvegarder l'ancien avant au cas où !)",111221,imu137.infomaniak.ch,155
www.lechantdesmuses.fr,elode,"Je viens de faire la mise à jour de Firefox. Je suis sous Ubuntu 10.04 et j'avais toujours Firefox 3.6.rnLa dernière mise à jour l'a fait passé en version 9. Et là, miracle, la croix pour fermer le visionneur est apparu !rnIl y aurait donc un problème de compatibilité avec certaines anciennes versions de Firefox ?",111222,gw4.ovh.net,161
www.lechantdesmuses.fr,elode,"Merci !",111222,gw4.ovh.net,155
www.lechantdesmuses.fr,elode,"Est-ce qu'il est possible, après coup, de rajouter des images dans un sliderJ ? Je ne trouve pas la méthode.rn Je précise que je choisis ""manual"" pour la source.",111222,gw4.ovh.net,
philum.net,philum,"ah d'accord c'était la version 3.6, ça explique tout ! les versions de cette année sont bien plus rapides et moins gourmandes en ressources, ils ont bien travaillé !",111222,imu137.infomaniak.ch,161
philum.net,philum,"non, en l'état il vaut mieux refaire l'opération depuis le début (c'est pas long) surtout que les infos existantes ne sont pas remplacées.",111222,imu137.infomaniak.ch,169
www.lechantdesmuses.fr,elode,"Donc, les textes liés aux images ne seront pas effacés ?rnDans ce cas, effectivement, ce n'est pas vraiment un souci.rnMerci.",111222,gw4.ovh.net,169
www.lechantdesmuses.fr,elode,"Bon... j'ai beau essayer, je n'arrive à rien.rnrnPour que les nouvelles images soient prises en compte dans le sliderJ, je dois au préalable aller dans msql et effacer la table de la galerie. C'est seulement à ce moment-là que les nouvelles images importées seront prises en compte quand je gérérerai le slider. Mais dans ce cas, les informations ont évidemment disparues et je suis bon pour tout réintroduire.rnrnMais peut-être que je ne fais pas comme il faudrait ?",111222,gw4.ovh.net,169
